Item Code,Item Name,Total Projected Qty,Default Unit of Measure,Standard Selling Rate,Item Group,Auto Create Assets on Purchase,Minimum Order Qty,Allow Purchase
"AQUA Floortrap Jali Tiletype SS4""","AQUA Floortrap Jali Tiletype SS4""",2,Nos,70,All Item Groups,1,1,1
Ariston Water Heater 100 H Pro1 R Italy,Ariston Water Heater 100 H Pro1 R Italy,1,Nos,585,All Item Groups,1,1,1
Ariston Water Heater 100Ltr Hor Pro R Italy,Ariston Water Heater 100Ltr Hor Pro R Italy,2,Nos,582.5,All Item Groups,1,1,1
Ariston Water Heater 100V Blu R,Ariston Water Heater 100V Blu R,2,Nos,500,All Item Groups,1,1,1
Ariston Water Heater 50Ltr Hor Pro R Italy,Ariston Water Heater 50Ltr Hor Pro R Italy,2,Pcs,440,All Item Groups,1,1,1
Ariston Water Heater 80Ltr Hor Pro R Italy,Ariston Water Heater 80Ltr Hor Pro R Italy,10,Pcs,490,All Item Groups,1,1,1
Ariston Water Heater PRO1R 100L Vertical,Ariston Water Heater PRO1R 100L Vertical,2,Nos,518.69,All Item Groups,1,1,1
Ariston Water Heater PRO1R 50L VERTICAL,Ariston Water Heater PRO1R 50L VERTICAL,,,,All Item Groups,1,1,1
Armoured Cable National 16MM x 4 Core,Armoured Cable National 16MM x 4 Core,3,Mtr,37,All Item Groups,1,1,1
Armoured Cable PVC 4C x 50MM,Armoured Cable PVC 4C x 50MM,15,Mtr,78.5,All Item Groups,1,1,1
Artist Brush Set 12Pcs,Artist Brush Set 12Pcs,5,Pcs,6,All Item Groups,1,1,1
Artist Brush Set 5Pcs,Artist Brush Set 5Pcs,1,Nos,10,All Item Groups,1,1,1
Ascaco Netural Silicon 2670 White,Ascaco Netural Silicon 2670 White,2,Pcs,12,All Item Groups,1,1,1
"ASC Paint Roller Sleeve 4""","ASC Paint Roller Sleeve 4""",1,Pkt,15,All Item Groups,1,1,1
"Ash Crown O/S Pressing
","Ash Crown O/S Pressing
",,,,All Item Groups,1,1,1
Askoma FO-180MM,Askoma FO-180MM,2,Nos,2165.3,All Item Groups,1,1,1
Asmaco Marble Glue,Asmaco Marble Glue,4,Pcs,15,All Item Groups,1,1,1
Asmaco Wall Joint Tape 48MM,Asmaco Wall Joint Tape 48MM,1,Pcs,9.52,All Item Groups,1,1,1
Asmoco Silicon 2500 Black,Asmoco Silicon 2500 Black,1,Nos,8,All Item Groups,1,1,1
Astral Heat Cool Pump,Astral Heat Cool Pump,1,Nos,9000,All Item Groups,1,1,1
"ATLAS H/P Pipe 1"" x 5.8MTR","ATLAS H/P Pipe 1"" x 5.8MTR",10,Pcs,19,All Item Groups,1,1,1
ATLAS H/P Pipe 20mm x 5.8MTR,ATLAS H/P Pipe 20mm x 5.8MTR,,,,All Item Groups,1,1,1
Attaching Tape,Attaching Tape,1,Nos,90,All Item Groups,1,1,1
A Type Hinges,A Type Hinges,,,,All Item Groups,1,1,1
Auger Bit 12 x 230,Auger Bit 12 x 230,1,Nos,10,All Item Groups,1,1,1
Backing Pad,Backing Pad,1,Nos,7,All Item Groups,1,1,1
Back to Back Screw,Back to Back Screw,20,Nos,4,All Item Groups,1,1,1
Balancer Laminate 0.5MM x 4x 8 -1101AMF,Balancer Laminate 0.5MM x 4x 8 -1101AMF,10,Pcs,25,All Item Groups,1,1,1
BAse Schineider 10A 250V 2.5KV,BAse Schineider 10A 250V 2.5KV,5,Nos,10,All Item Groups,1,1,1
Basket Sink Strainer Sundex Sd3412,Basket Sink Strainer Sundex Sd3412,1,Nos,18,All Item Groups,1,1,1
Bath door hinges and alignment,Bath door hinges and alignment,,,,All Item Groups,1,1,1
Bathroom Accessories installation work,Bathroom Accessories installation work,,,,All Item Groups,1,1,1
Bathroom Floor repair work,Bathroom Floor repair work,,,,All Item Groups,1,1,1
Bathroom Glass door hinges alignments,Bathroom Glass door hinges alignments,,,,All Item Groups,1,1,1
Bathroom Glass shelve work,Bathroom Glass shelve work,,,,All Item Groups,1,1,1
Bathroom & Storage Modification variation work,Bathroom & Storage Modification variation work,,,,All Item Groups,1,1,1
"Bath tubMarble top removal, maintain slope as applicable","Bath tubMarble top removal, maintain slope as applicable",,,,All Item Groups,1,1,1
"Bed, carpet & Various work","Bed, carpet & Various work",,,,All Item Groups,1,1,1
Beech Quarter O/S Backing,Beech Quarter O/S Backing,,,,All Item Groups,1,1,1
"Beech Wood 2"" KD - Bosnia","Beech Wood 2"" KD - Bosnia",2.2,CB,87,All Item Groups,1,1,1
Bend PVC20MM,Bend PVC20MM,50,Pcs,0.7,All Item Groups,1,1,1
Bergen 5 Plus 99.7x300(997x3000x5.5),Bergen 5 Plus 99.7x300(997x3000x5.5),30,Sqm,366.86,All Item Groups,1,1,1
BF Pump Room AC Duct Work,BF Pump Room AC Duct Work,,,,All Item Groups,1,1,1
Bison Kit,Bison Kit,1,Nos,18,All Item Groups,1,1,1
Bison Kit (1Ctn- 12Pcs),Bison Kit (1Ctn- 12Pcs),13,Nos,18.69,All Item Groups,1,1,1
Black Bag HD,Black Bag HD,3,Nos,1,All Item Groups,1,1,1
Black Cement Ultratech PLC 50Kg,Black Cement Ultratech PLC 50Kg,17,Bag,12.88,All Item Groups,1,1,1
Black Sand 20Kg Bag,Black Sand 20Kg Bag,53,Bag,5,All Item Groups,1,1,1
Blit Ins Cordend Terminals Brown,Blit Ins Cordend Terminals Brown,1,Pkt,10,All Item Groups,1,1,1
Blit Ins Cordend Terminals Orange,Blit Ins Cordend Terminals Orange,1,Pkt,7,All Item Groups,1,1,1
"Blower D Alum 6""x10""x1/2"" Pin Type Left","Blower D Alum 6""x10""x1/2"" Pin Type Left",1,Pcs,75,All Item Groups,1,1,1
"Blower D Alum 6""x10""x1/2"" Pin Type Right","Blower D Alum 6""x10""x1/2"" Pin Type Right",1,Pcs,75,All Item Groups,1,1,1
Blower Motor D/S FMI BA24001,Blower Motor D/S FMI BA24001,3,Nos,380,All Item Groups,1,1,1
Blower Motor S/S 125/80W FMI BA24000,Blower Motor S/S 125/80W FMI BA24000,1,Pcs,360,All Item Groups,1,1,1
Bloxconnect Closed Type Terminal Block 6.5MM,Bloxconnect Closed Type Terminal Block 6.5MM,4,Nos,1.5,All Item Groups,1,1,1
Blum Clip M.Plate,Blum Clip M.Plate,20,Pcs,1,All Item Groups,1,1,1
Blum Clip Top 107D Hinges Blumotion,Blum Clip Top 107D Hinges Blumotion,20,Pcs,9,All Item Groups,1,1,1
Blum Tandem F.Ext Slide W/BM 500MM,Blum Tandem F.Ext Slide W/BM 500MM,3,Set,93,All Item Groups,1,1,1
Blum Tandem F.EXT Slide W/BW 400MM,Blum Tandem F.EXT Slide W/BW 400MM,3,Set,87,All Item Groups,1,1,1
Blum Tandem Locking Device L/R,Blum Tandem Locking Device L/R,6,Pcs,4.5,All Item Groups,1,1,1
B M Aura Matt Finish Base 3 Peale Green,B M Aura Matt Finish Base 3 Peale Green,2,LTR,155,All Item Groups,1,1,1
B M Paint Insl-X Primer All-White,B M Paint Insl-X Primer All-White,1,LTR,75,All Item Groups,1,1,1
Bondo Putty Gln,Bondo Putty Gln,1,Gln,74,All Item Groups,1,1,1
Bonomini Clik Waste 1 1/4 Slott,Bonomini Clik Waste 1 1/4 Slott,1,Nos,41.4,All Item Groups,1,1,1
"Bonomini - PP Bottle Trap 11/4"" x 32 x 250MM","Bonomini - PP Bottle Trap 11/4"" x 32 x 250MM",1,Nos,20,All Item Groups,1,1,1
Bonomini - Vertical Floor Drain RV15*15,Bonomini - Vertical Floor Drain RV15*15,1,Nos,77,All Item Groups,1,1,1
Booster Pump room work,Booster Pump room work,,,,All Item Groups,1,1,1
Booster pump set Installation,Booster pump set Installation,,,,All Item Groups,1,1,1
Booster pump set Supply,Booster pump set Supply,,,,All Item Groups,1,1,1
Booster Set Ebara Matrix,Booster Set Ebara Matrix,-1,Nos,8800,All Item Groups,1,1,1
Bootless Ferrules 25mm,Bootless Ferrules 25mm,12,Pcs,0.5,All Item Groups,1,1,1
Bordn,Bordn,5,Pcs,8,All Item Groups,1,1,1
Bosch 5 Programmes Dishwasher SMV50E00GC,Bosch 5 Programmes Dishwasher SMV50E00GC,1,Nos,2265.9,All Item Groups,1,1,1
Bosch Aquatak High Pressure Cleance 125,Bosch Aquatak High Pressure Cleance 125,1,Nos,600,All Item Groups,1,1,1
"Bosch Cut Off Machine 14""","Bosch Cut Off Machine 14""",1,Nos,525,All Item Groups,1,1,1
Boss White 400G,Boss White 400G,2,Pcs,10,All Item Groups,1,1,1
"Bottle Trap 11/4""","Bottle Trap 11/4""",2,Nos,21,All Item Groups,1,1,1
Boundary wall gate door closer work,Boundary wall gate door closer work,,,,All Item Groups,1,1,1
Boundary Wall Paint work,Boundary Wall Paint work,,,,All Item Groups,1,1,1
Boundary Wall Rendering Work,Boundary Wall Rendering Work,,,,All Item Groups,1,1,1
BR1 Actuator & valve Replacement and insulation work,BR1 Actuator & valve Replacement and insulation work,,,,All Item Groups,1,1,1
BR1 and MBR Floor trap guard Installation,BR1 and MBR Floor trap guard Installation,,,,All Item Groups,1,1,1
BR1 Bath Shower head flushing work,BR1 Bath Shower head flushing work,,,,All Item Groups,1,1,1
"Brass 1"" PVC Pressure Male Adaptor Grey Cosmoplast","Brass 1"" PVC Pressure Male Adaptor Grey Cosmoplast",6,Nos,10,All Item Groups,1,1,1
"Brass 11/4"" PVC Pressure Male Adaptor Grey Cosmopla","Brass 11/4"" PVC Pressure Male Adaptor Grey Cosmopla",2,Pcs,15,All Item Groups,1,1,1
Brass Elbow 3/8,Brass Elbow 3/8,1,Nos,3.5,All Item Groups,1,1,1
"Brass End Cap 1/4""","Brass End Cap 1/4""",,,,All Item Groups,1,1,1
Brass Female Hose Nipple 1/2 X1/2,Brass Female Hose Nipple 1/2 X1/2,1,Nos,5,All Item Groups,1,1,1
"Brass Foot Valve Angle 1""","Brass Foot Valve Angle 1""",4,Nos,25,All Item Groups,1,1,1
"Brass F/Socket 3/8""","Brass F/Socket 3/8""",1,Nos,3.5,All Item Groups,1,1,1
"Brass Gate Valve Pegler 0.75""","Brass Gate Valve Pegler 0.75""",1,Nos,26,All Item Groups,1,1,1
"Brass Hex Nipple 0.5 x 0.5""","Brass Hex Nipple 0.5 x 0.5""",1,Pcs,3.5,All Item Groups,1,1,1
"Brass Ma Y Strainer DN40 11/2""","Brass Ma Y Strainer DN40 11/2""",1,Nos,44,All Item Groups,1,1,1
"Brass Nipple 0.25""","Brass Nipple 0.25""",2,Nos,3,All Item Groups,1,1,1
"Brass Plug 1/2""","Brass Plug 1/2""",1,Nos,2.5,All Item Groups,1,1,1
Brass Reducer 0.5x0.75,Brass Reducer 0.5x0.75,2,Nos,3.5,All Item Groups,1,1,1
Brass Reducer Bush 0.25x3/8,Brass Reducer Bush 0.25x3/8,1,Nos,3,All Item Groups,1,1,1
"Brass Reducer Bush 0.5x0.25""","Brass Reducer Bush 0.5x0.25""",1,Nos,2.5,All Item Groups,1,1,1
Brass Reducer Nipple 1x3/4,Brass Reducer Nipple 1x3/4,1,Pcs,8,All Item Groups,1,1,1
"Brass Socket 3/4""","Brass Socket 3/4""",1,Nos,6,All Item Groups,1,1,1
"Brass Tee 2801 0.5""","Brass Tee 2801 0.5""",1,Nos,8,All Item Groups,1,1,1
"Brass Tee 2801 1/4""","Brass Tee 2801 1/4""",1,Pcs,4.5,All Item Groups,1,1,1
BS CArbon Brush #1619P11715,BS CArbon Brush #1619P11715,1,Nos,14.29,All Item Groups,1,1,1
B/S Sanding B/S Ash Quarter,B/S Sanding B/S Ash Quarter,,,,All Item Groups,1,1,1
Bubble Roll 150cm X30Y,Bubble Roll 150cm X30Y,4,Roll,48,All Item Groups,1,1,1
Bulb Gls Led E27 6W WDL Fhiliment,Bulb Gls Led E27 6W WDL Fhiliment,1,Nos,8,All Item Groups,1,1,1
Burma Teak Crown B/S Pressing,Burma Teak Crown B/S Pressing,,,,All Item Groups,1,1,1
Burma Teak Crown O/S Backing,Burma Teak Crown O/S Backing,,,,All Item Groups,1,1,1
Bus Bar End Cap 4P,Bus Bar End Cap 4P,10,Nos,0.5,All Item Groups,1,1,1
Bus Bar End Cover 3P,Bus Bar End Cover 3P,10,Pcs,0.5,All Item Groups,1,1,1
Bush Brass 20MM,Bush Brass 20MM,15,Pcs,2.5,All Item Groups,1,1,1
Bush Brass 25MM,Bush Brass 25MM,15,Pcs,2.7,All Item Groups,1,1,1
Butter Fly Wall Plug 10MM,Butter Fly Wall Plug 10MM,2,Nos,11,All Item Groups,1,1,1
Butter Fly Wall Plug 6MM,Butter Fly Wall Plug 6MM,2,Pkt,10.75,All Item Groups,1,1,1
Butter Fly Wall Plug 8mm,Butter Fly Wall Plug 8mm,1,Pkt,5,All Item Groups,1,1,1
C10 Mini Circuit Breaker,C10 Mini Circuit Breaker,,,,All Item Groups,1,1,1
C20 Mini Circuit Breaker,C20 Mini Circuit Breaker,1,Nos,12,All Item Groups,1,1,1
C32 Mini Circuit Breaker,C32 Mini Circuit Breaker,1,Nos,12,All Item Groups,1,1,1
"Cabinet Handle Loose 6""","Cabinet Handle Loose 6""",1,Pcs,18,All Item Groups,1,1,1
"Cabinet Handle Loose 8""","Cabinet Handle Loose 8""",1,Pcs,20.1,All Item Groups,1,1,1
Cable Clip 8mm,Cable Clip 8mm,1,Nos,5,All Item Groups,1,1,1
Cable Connector 10MM White,Cable Connector 10MM White,1,Pkt,18,All Item Groups,1,1,1
Cable Connector 6MM HD,Cable Connector 6MM HD,1,Pkt,13,All Item Groups,1,1,1
"Cable Cutter 6""","Cable Cutter 6""",1,Nos,20,All Item Groups,1,1,1
Cable Gland 25L BW,Cable Gland 25L BW,1,Pcs,8,All Item Groups,1,1,1
Cable Gland 40L BW,Cable Gland 40L BW,1,Nos,15,All Item Groups,1,1,1
CAble Gland Braco CW 25L,CAble Gland Braco CW 25L,3,Pcs,10.67,All Item Groups,1,1,1
Cable Gland Braco CW 32L,Cable Gland Braco CW 32L,2,Pcs,14,All Item Groups,1,1,1
Cable Gland PG11 PVC,Cable Gland PG11 PVC,20,Pcs,1.5,All Item Groups,1,1,1
Cable Gland PG13.5 PVC,Cable Gland PG13.5 PVC,20,Pcs,1.75,All Item Groups,1,1,1
Cable Leg Braco 25 x 10,Cable Leg Braco 25 x 10,12,Pcs,1,All Item Groups,1,1,1
Cable Leg Braco 35 x 10,Cable Leg Braco 35 x 10,12,Pcs,1.25,All Item Groups,1,1,1
Cable LUGS 50-10,Cable LUGS 50-10,20,Nos,1.75,All Item Groups,1,1,1
Cable Marker BM-00 Yellow,Cable Marker BM-00 Yellow,10,Pkt,6,All Item Groups,1,1,1
Cable Tie 150 x 2.5MM White,Cable Tie 150 x 2.5MM White,,,,All Item Groups,1,1,1
Cable Tie 200 x 3.6 Black,Cable Tie 200 x 3.6 Black,,,,All Item Groups,1,1,1
Cable Tie 370x3.6 Black,Cable Tie 370x3.6 Black,1,Pkt,12,All Item Groups,1,1,1
Cable Tie Base G Connect 20 x 20,Cable Tie Base G Connect 20 x 20,1,Pkt,15,All Item Groups,1,1,1
Camera power provision work,Camera power provision work,,,,All Item Groups,1,1,1
Canvas Cloth 6OZ,Canvas Cloth 6OZ,2,Roll,22.5,All Item Groups,1,1,1
Canvas Cloth 8OZ,Canvas Cloth 8OZ,8,Nos,16.5,All Item Groups,1,1,1
Car Garage Paint Work,Car Garage Paint Work,,,,All Item Groups,1,1,1
Cargo Khaki Pant,Cargo Khaki Pant,6,Nos,45,All Item Groups,1,1,1
Carrier Split Inverter AC 1.5 TON I/N,Carrier Split Inverter AC 1.5 TON I/N,1,Nos,1360,All Item Groups,1,1,1
Carrier Split Inverter AC 1.5 TON O/D,Carrier Split Inverter AC 1.5 TON O/D,1,Nos,2040,All Item Groups,1,1,1
Carrier Split Inverter AC 2.0 Ton I/N,Carrier Split Inverter AC 2.0 Ton I/N,1,Nos,1500,All Item Groups,1,1,1
Carrier Split Inverter AC 2.0 TON O/D,Carrier Split Inverter AC 2.0 TON O/D,1,Nos,2250,All Item Groups,1,1,1
Carrier Split Wall AC 1.5 Ton I/D,Carrier Split Wall AC 1.5 Ton I/D,3,Nos,866.67,All Item Groups,1,1,1
Carrier Split Wall AC 1.5 Ton O/D,Carrier Split Wall AC 1.5 Ton O/D,3,Nos,1396.67,All Item Groups,1,1,1
Carrier Split Wall AC 3 Ton I/D,Carrier Split Wall AC 3 Ton I/D,2,Nos,1750,All Item Groups,1,1,1
Carrier Split Wall AC 3 Ton O/D,Carrier Split Wall AC 3 Ton O/D,2,Nos,2800,All Item Groups,1,1,1
Casal Mortise Lock 111,Casal Mortise Lock 111,1,Nos,65,All Item Groups,1,1,1
Cat6 Cable Schineider 305M Blue 23AWG,Cat6 Cable Schineider 305M Blue 23AWG,4,Roll,385,All Item Groups,1,1,1
Cat 6 cable & various work,Cat 6 cable & various work,,,,All Item Groups,1,1,1
Cat6 Utp Socket,Cat6 Utp Socket,1,Nos,60.9,All Item Groups,1,1,1
Caulking Gun 300mlx225mmyato brand YT-6751,Caulking Gun 300mlx225mmyato brand YT-6751,,,,All Item Groups,1,1,1
Caulking Gun 300mlx225mmyato Brand YT-6753,Caulking Gun 300mlx225mmyato Brand YT-6753,,,,All Item Groups,1,1,1
Caustic Soda 5KG,Caustic Soda 5KG,1,Pcs,30,All Item Groups,1,1,1
C Cleats,C Cleats,1,Nos,8.4,All Item Groups,1,1,1
"CCTV Removal, hole filling and painting work","CCTV Removal, hole filling and painting work",,,,All Item Groups,1,1,1
CCTV system installation work,CCTV system installation work,,,,All Item Groups,1,1,1
CDP line unblocking & leak rectification,CDP line unblocking & leak rectification,,,,All Item Groups,1,1,1
Ceiling Repair Work,Ceiling Repair Work,,,,All Item Groups,1,1,1
Ceiling Tiles 60x60,Ceiling Tiles 60x60,6,Nos,3,All Item Groups,1,1,1
Cement Board 1200x2400x12MM Ecopro,Cement Board 1200x2400x12MM Ecopro,16,Pcs,54,All Item Groups,1,1,1
Cement Board 1200x2400x12MM Skyline,Cement Board 1200x2400x12MM Skyline,3,Pcs,54,All Item Groups,1,1,1
Centrifugal Curved Fan,Centrifugal Curved Fan,,,,All Item Groups,1,1,1
Ceramic Fuse 15A,Ceramic Fuse 15A,3,Pkt,10,All Item Groups,1,1,1
Cerium Oxide 99%,Cerium Oxide 99%,1,Kg,60,All Item Groups,1,1,1
CGEZE Rollan80 Sliding Fitting With Geze Track,CGEZE Rollan80 Sliding Fitting With Geze Track,1,Nos,300,All Item Groups,1,1,1
Challenger Pressure Vessel 300 Ltr 10 Bar,Challenger Pressure Vessel 300 Ltr 10 Bar,1,Nos,2300,All Item Groups,1,1,1
Chanel Screw 1x1/4,Chanel Screw 1x1/4,1,Pkt,20,All Item Groups,1,1,1
"Channel Screw 6x7/16""","Channel Screw 6x7/16""",1,Pkt,25,All Item Groups,1,1,1
"Channel Screw 8 x 11/4"" - Tuffix","Channel Screw 8 x 11/4"" - Tuffix",1,Pkt,45,All Item Groups,1,1,1
Charges for Fabric & Stitching of Roman Blinds,Charges for Fabric & Stitching of Roman Blinds,1,Nos,1280,All Item Groups,1,1,1
Charging Hose,Charging Hose,1,Nos,43,All Item Groups,1,1,1
Chemex Toilet Cleaner,Chemex Toilet Cleaner,2,Nos,6.5,All Item Groups,1,1,1
Chemex Toilet Roll,Chemex Toilet Roll,20,Roll,0.4,All Item Groups,1,1,1
Chemical jet wash work,Chemical jet wash work,,,,All Item Groups,1,1,1
Chemical Sprayer Pressure Type 2L Poweron,Chemical Sprayer Pressure Type 2L Poweron,1,Nos,20,All Item Groups,1,1,1
Cherry Crown O/S Backing Pressing,Cherry Crown O/S Backing Pressing,,,,All Item Groups,1,1,1
Chilled water pump repair,Chilled water pump repair,,,,All Item Groups,1,1,1
Chiller Controller & Display Auxiliary,Chiller Controller & Display Auxiliary,1,Nos,900,All Item Groups,1,1,1
Chlorine & PH Test Kit,Chlorine & PH Test Kit,2,Nos,20,All Item Groups,1,1,1
Chromolux Shower Silver Hose For ISF Handheld(1.7),Chromolux Shower Silver Hose For ISF Handheld(1.7),,,,All Item Groups,1,1,1
CHW pipe insulation and paint touch up work,CHW pipe insulation and paint touch up work,,,,All Item Groups,1,1,1
Circular Junction Box GI 20MM 1 Way,Circular Junction Box GI 20MM 1 Way,,,,All Item Groups,1,1,1
Circular JunctionBox GI 20 mm 2 Way Angle,Circular JunctionBox GI 20 mm 2 Way Angle,,,,All Item Groups,1,1,1
Circular Junction Box GI 20mm 2Way Through,Circular Junction Box GI 20mm 2Way Through,,,,All Item Groups,1,1,1
Circular Junction Box Gi 20mm 3 Way Tee,Circular Junction Box Gi 20mm 3 Way Tee,,,,All Item Groups,1,1,1
Circular Junction Box Gi 20mm 4 Way Intersection,Circular Junction Box Gi 20mm 4 Way Intersection,,,,All Item Groups,1,1,1
Circular Junction Box Gi 20mm 4 Way Loop in,Circular Junction Box Gi 20mm 4 Way Loop in,,,,All Item Groups,1,1,1
Circular Saw Blade,Circular Saw Blade,2,Pcs,265,All Item Groups,1,1,1
Clarke Circular Saw Blade 4.5x40T,Clarke Circular Saw Blade 4.5x40T,1,Pcs,20,All Item Groups,1,1,1
Clarke Fisher 6MM Cap Type,Clarke Fisher 6MM Cap Type,,,,All Item Groups,1,1,1
Clear Acrylic Sheet 2.8mm 4x 8,Clear Acrylic Sheet 2.8mm 4x 8,4,Nos,110.06,All Item Groups,1,1,1
Clear Rubber Washer,Clear Rubber Washer,54,Pcs,0.22,All Item Groups,1,1,1
Cleats,Cleats,4.8,Mtr,3.5,All Item Groups,1,1,1
Clemex - Cream Hand Soap,Clemex - Cream Hand Soap,2,Nos,3,All Item Groups,1,1,1
CLIP,CLIP,11,Pcs,1.55,All Item Groups,1,1,1
Clip 20MM (Saddle) DD,Clip 20MM (Saddle) DD,200,Pcs,0.42,All Item Groups,1,1,1
"Club Tub Sharpener-Single Hole,Blue","Club Tub Sharpener-Single Hole,Blue",,,,All Item Groups,1,1,1
"CM10-3""","CM10-3""",1,Pcs,2900,All Item Groups,1,1,1
Coco Broom Brush 24 with Stick,Coco Broom Brush 24 with Stick,2,Nos,13,All Item Groups,1,1,1
Coco Broom Brush 45,Coco Broom Brush 45,1,Pcs,10,All Item Groups,1,1,1
Coil Cleaner and Disinfectant 500ML,Coil Cleaner and Disinfectant 500ML,2,can,23.5,All Item Groups,1,1,1
Comb Bus Bar 4P Pin Type,Comb Bus Bar 4P Pin Type,3,Lgth,88,All Item Groups,1,1,1
"Combi Angle Valve 2 Connections 1/2"" x 1/2"" Cp","Combi Angle Valve 2 Connections 1/2"" x 1/2"" Cp",11,Nos,45.02,All Item Groups,1,1,1
Compressor Repair and Motor Fix,Compressor Repair and Motor Fix,1,Nos,550,All Item Groups,1,1,1
Compressor Scroll LG SBA040PAA 220V,Compressor Scroll LG SBA040PAA 220V,1,Pcs,1050,All Item Groups,1,1,1
Concealed Handel,Concealed Handel,2,Nos,5,All Item Groups,1,1,1
Concrete 3/4 Bag,Concrete 3/4 Bag,13,Nos,5,All Item Groups,1,1,1
Conduilt Pipe Decoduct M/D 1.6mm 20mm,Conduilt Pipe Decoduct M/D 1.6mm 20mm,20,Nos,2.7,All Item Groups,1,1,1
Conduit Pipe Decoduct M/D 1.6mm 25mm,Conduit Pipe Decoduct M/D 1.6mm 25mm,20,Nos,3.7,All Item Groups,1,1,1
Connector 16MM,Connector 16MM,10,Pcs,4.25,All Item Groups,1,1,1
Contact Cleaner RD 40,Contact Cleaner RD 40,1,Nos,10,All Item Groups,1,1,1
Contactor 440V 12A 415V AC Coil,Contactor 440V 12A 415V AC Coil,1,Nos,70,All Item Groups,1,1,1
Contactor Hager 240V 40A FP,Contactor Hager 240V 40A FP,1,Nos,95,All Item Groups,1,1,1
Cooker Unit Schneider Lisse 45Amp,Cooker Unit Schneider Lisse 45Amp,4,Nos,16,All Item Groups,1,1,1
Cooling Fan Filter 120MM X120MM,Cooling Fan Filter 120MM X120MM,4,Nos,11.19,All Item Groups,1,1,1
Copper Coil 5/8 X15Mtrx.75,Copper Coil 5/8 X15Mtrx.75,1,Roll,220,All Item Groups,1,1,1
"Copper  Insulation 1/2"" x 1/2""","Copper  Insulation 1/2"" x 1/2""",5,Nos,3,All Item Groups,1,1,1
"Copper  Insulation 1/2"" x 3/8""","Copper  Insulation 1/2"" x 3/8""",15,Nos,2.33,All Item Groups,1,1,1
"Copper  Insulation 1/2"" x 5/8""","Copper  Insulation 1/2"" x 5/8""",5,Nos,3.5,All Item Groups,1,1,1
"Copper Insulation 1/4"" x 3/8""","Copper Insulation 1/4"" x 3/8""",15,Nos,1.75,All Item Groups,1,1,1
"Copper Insulation 21/8""x1""","Copper Insulation 21/8""x1""",10,Nos,12,All Item Groups,1,1,1
"Copper Insulation 3/4""x 1/2""","Copper Insulation 3/4""x 1/2""",5,Nos,3.5,All Item Groups,1,1,1
"Copper Insulation 3/8""x 3/4""","Copper Insulation 3/8""x 3/4""",5,Nos,8,All Item Groups,1,1,1
"Copper  Insulation 3/8"" x 3/8""","Copper  Insulation 3/8"" x 3/8""",5,Nos,1.5,All Item Groups,1,1,1
Copper Insulation 3/8 x 1/2,Copper Insulation 3/8 x 1/2,5,Nos,3.5,All Item Groups,1,1,1
"Copper  Insulation 5/8"" x 1/2""","Copper  Insulation 5/8"" x 1/2""",10,Nos,4,All Item Groups,1,1,1
Corregated Sheet (14kg),Corregated Sheet (14kg),,,,All Item Groups,1,1,1
Corrugated Fasteners 3/4x5,Corrugated Fasteners 3/4x5,2,Pkt,8,All Item Groups,1,1,1
Corrugated Flexible Conduit 20mm x 50Mtr RFC20-BK R,Corrugated Flexible Conduit 20mm x 50Mtr RFC20-BK R,6,Roll,36,All Item Groups,1,1,1
Corrugated Flexible Conduit 25mm x 50Mtr RFC25-BK R,Corrugated Flexible Conduit 25mm x 50Mtr RFC25-BK R,2,Roll,45,All Item Groups,1,1,1
"Corrugated Nail 3/8""","Corrugated Nail 3/8""",2,Pkt,12,All Item Groups,1,1,1
Corrugated Papper Roll 1 5cmx13kg (Cartoon),Corrugated Papper Roll 1 5cmx13kg (Cartoon),5,Roll,40,All Item Groups,1,1,1
Cosmoplast PPR Elbow 50MM,Cosmoplast PPR Elbow 50MM,2,Nos,3.5,All Item Groups,1,1,1
Cosmoplast PPR Elbow 50MM X45D,Cosmoplast PPR Elbow 50MM X45D,4,Nos,3.5,All Item Groups,1,1,1
Cosmoplast PPR End Cap 40MM,Cosmoplast PPR End Cap 40MM,2,Nos,2,All Item Groups,1,1,1
"Cosmoplast PPR F/Adaptor 50MM x 11/2""","Cosmoplast PPR F/Adaptor 50MM x 11/2""",1,Nos,45,All Item Groups,1,1,1
"Cosmoplast PPR Female Socket 50MM x 11/2""","Cosmoplast PPR Female Socket 50MM x 11/2""",1,Pcs,23,All Item Groups,1,1,1
"Cosmoplast PPR F/Tee 20MM x 1/2""","Cosmoplast PPR F/Tee 20MM x 1/2""",5,Pcs,4,All Item Groups,1,1,1
"Cosmoplast PPR F/Tee 25MM x 3/4""","Cosmoplast PPR F/Tee 25MM x 3/4""",5,Pcs,5,All Item Groups,1,1,1
"Cosmoplast PPR F/Tee 32MM x 1/2""","Cosmoplast PPR F/Tee 32MM x 1/2""",5,Pcs,5.5,All Item Groups,1,1,1
Cosmoplast PPR Gate Valve 25MM,Cosmoplast PPR Gate Valve 25MM,3,Nos,18,All Item Groups,1,1,1
"Cosmoplast PPR Male Socket 32MM x 1""","Cosmoplast PPR Male Socket 32MM x 1""",2,Pcs,12,All Item Groups,1,1,1
Cosmoplast PPR Male Socket 40MM,Cosmoplast PPR Male Socket 40MM,4,Pcs,20,All Item Groups,1,1,1
