Item Code,Item Name,Total Projected Qty,Default Unit of Measure,Standard Selling Rate,Item Group,Auto Create Assets on Purchase,Minimum Order Qty,Allow Purchase
"Walnut Quarter AM O/S
Backing","Walnut Quarter AM O/S
Backing",,,,Backing Sheet,1,1,1
ELCB 40A 4P 100MA ABB,ELCB 40A 4P 100MA ABB,3,Pcs,88,Electrical,1,1,1
ELCB 40A 4P 30MA ABB,ELCB 40A 4P 30MA ABB,2,Pcs,98,Electrical,1,1,1
Isolator 63A 4P Rail Mounted ABB,Isolator 63A 4P Rail Mounted ABB,1,Pcs,64,Electrical,1,1,1
MCB SP 16A 6KA ABB,MCB SP 16A 6KA ABB,6,Pcs,9.75,Electrical,1,1,1
0.8MM Laminates Sheet,0.8MM Laminates Sheet,1,Nos,65,Laminate,1,1,1
Newmika 0.8MM x 4x8 3564SD Fossil Grey,Newmika 0.8MM x 4x8 3564SD Fossil Grey,7,Nos,55,Laminate,1,1,1
Newmika 0.8MM x 4x8 3646CFD Black,Newmika 0.8MM x 4x8 3646CFD Black,2,Nos,95,Laminate,1,1,1
Phenalic Backers 497 No Finish B/S 4x8x.6MM,Phenalic Backers 497 No Finish B/S 4x8x.6MM,5,Nos,40,Laminate,1,1,1
18mm O/S White Fine Finish 4ft x 8 ft - Ch,18mm O/S White Fine Finish 4ft x 8 ft - Ch,1,Nos,47.62,MDF,1,1,1
18MM Plain O/S White Fine Finish MDF-TH,18MM Plain O/S White Fine Finish MDF-TH,10,Nos,74.2,MDF,1,1,1
6MM Plain O/S White Fine Finish MDF-TH,6MM Plain O/S White Fine Finish MDF-TH,4,Nos,48,MDF,1,1,1
Decore MDF-New OAK 6mm,Decore MDF-New OAK 6mm,,,,MDF,1,1,1
FR MDF 4 x 8 MM Thailand 6MM,FR MDF 4 x 8 MM Thailand 6MM,,,,MDF,1,1,1
FR MDF Board Commercial 4 x8 x12 MM TH,FR MDF Board Commercial 4 x8 x12 MM TH,106,Nos,62.89,MDF,1,1,1
FR MDF Board Commercial 4 x 8 X18MM TH,FR MDF Board Commercial 4 x 8 X18MM TH,24,Pcs,81.92,MDF,1,1,1
FR MDF Board Commercial 4 x 8 x 18MM THf,FR MDF Board Commercial 4 x 8 x 18MM THf,5,Nos,105,MDF,1,1,1
FR MDF Board Commercial 4 x 8x 6MM TH,FR MDF Board Commercial 4 x 8x 6MM TH,82,Nos,42.26,MDF,1,1,1
Gp Lam 1301 ASF 4 x 8 x  0.8MM,Gp Lam 1301 ASF 4 x 8 x  0.8MM,3,Sheet,70.33,MDF,1,1,1
MDF 2.7MM ORD,MDF 2.7MM ORD,1,Sheet,15,MDF,1,1,1
MDF Board Commercial 4 x 8 x 12MM TH,MDF Board Commercial 4 x 8 x 12MM TH,240,Nos,38.83,MDF,1,1,1
MDF Board Commercial 4 x 8 x 15MM TH,MDF Board Commercial 4 x 8 x 15MM TH,63,Nos,45.94,MDF,1,1,1
MDF Board Commercial 4 x8 x 18MM IN,MDF Board Commercial 4 x8 x 18MM IN,2,Nos,70,MDF,1,1,1
MDF Board Commercial 4 x 8 x 18MM Malysia,MDF Board Commercial 4 x 8 x 18MM Malysia,,,,MDF,1,1,1
MDF Board Commercial 4 x 8 x 18MM TH,MDF Board Commercial 4 x 8 x 18MM TH,715,Nos,55.19,MDF,1,1,1
MDF Board Commercial 4 x 8 x 4mm IN,MDF Board Commercial 4 x 8 x 4mm IN,8,Nos,15.19,MDF,1,1,1
MDF Board Commercial 4 x 8 x 4MM TH,MDF Board Commercial 4 x 8 x 4MM TH,29,Nos,14.38,MDF,1,1,1
MDF Board Commercial 4 x 8 x 5.5MM TH,MDF Board Commercial 4 x 8 x 5.5MM TH,40,Nos,21.5,MDF,1,1,1
MDF Board Commercial 4 x 8 x 6MM TH,MDF Board Commercial 4 x 8 x 6MM TH,50,Nos,19.05,MDF,1,1,1
MDF Board Commercial 4 x 8 x 9 MM Malaysia,MDF Board Commercial 4 x 8 x 9 MM Malaysia,,,,MDF,1,1,1
MDF Board Commercial 4 x 8 x 9 MM TH,MDF Board Commercial 4 x 8 x 9 MM TH,118,Nos,29,MDF,1,1,1
MDF Board Commercial 6 x 12 x 12MM TH,MDF Board Commercial 6 x 12 x 12MM TH,92,Nos,118.46,MDF,1,1,1
MDF Board Commercial 6 x 12 x 18MM TH,MDF Board Commercial 6 x 12 x 18MM TH,40,Nos,168.54,MDF,1,1,1
MDF Boarded Commercial 4 x 8 x 2.7MM IN,MDF Boarded Commercial 4 x 8 x 2.7MM IN,20,Nos,12.5,MDF,1,1,1
MDF Boarded Commercial 4 x 8 x 2.7MM TH,MDF Boarded Commercial 4 x 8 x 2.7MM TH,111,Pcs,12.12,MDF,1,1,1
MDF Boarded Commercial 4 x 8 x 2.7MM THs,MDF Boarded Commercial 4 x 8 x 2.7MM THs,,,,MDF,1,1,1
MDF BOARD FIBRE 4 x 8 x 3 MM,MDF BOARD FIBRE 4 x 8 x 3 MM,17,Nos,13,MDF,1,1,1
MDF MLM BS 4x8x12MM Black TH,MDF MLM BS 4x8x12MM Black TH,15,Nos,70,MDF,1,1,1
MDF MLM BS 4x8x18MM Grey 5002 JS,MDF MLM BS 4x8x18MM Grey 5002 JS,3,Nos,80,MDF,1,1,1
MDF MLM B/S 4x8x18MM White TH,MDF MLM B/S 4x8x18MM White TH,5,Nos,78.8,MDF,1,1,1
MDF MLM BS 4x8x6MM White TH,MDF MLM BS 4x8x6MM White TH,1,Nos,48,MDF,1,1,1
MDF MLM OS 4 x 8 6MM White TH,MDF MLM OS 4 x 8 6MM White TH,1,Nos,40,MDF,1,1,1
MDF MLM OS 4 x 8 x 12MM HMR White JS,MDF MLM OS 4 x 8 x 12MM HMR White JS,1,Nos,80,MDF,1,1,1
MDF MLM O/S 4x8x18MM HMR White TH,MDF MLM O/S 4x8x18MM HMR White TH,3,Nos,90,MDF,1,1,1
MDF MLM O/S 4x8x18MM White TH,MDF MLM O/S 4x8x18MM White TH,20,Nos,80.25,MDF,1,1,1
MDF MR Board Commercial 4x 8 x 12MM TH,MDF MR Board Commercial 4x 8 x 12MM TH,304,Nos,46.71,MDF,1,1,1
MDF MR Board Commercial4 x 8 x 18MM Malaysia,MDF MR Board Commercial4 x 8 x 18MM Malaysia,4,Nos,70,MDF,1,1,1
MDF MR Board Commercial4 x 8 x 18MM TH,MDF MR Board Commercial4 x 8 x 18MM TH,526,Nos,65.9,MDF,1,1,1
MDF MR Board Commercial 4x 8 x 6MM TH,MDF MR Board Commercial 4x 8 x 6MM TH,80,Nos,26.63,MDF,1,1,1
MDF MR Board Commercial 4x 8 x 9MM TH,MDF MR Board Commercial 4x 8 x 9MM TH,50,Nos,37.6,MDF,1,1,1
MDF MR Board Commercial 6x 12 x 12MM TH,MDF MR Board Commercial 6x 12 x 12MM TH,6,Nos,135,MDF,1,1,1
MDF MR Board Commercial 6 x 12 x 18MM TH,MDF MR Board Commercial 6 x 12 x 18MM TH,3,Nos,221.8,MDF,1,1,1
MDF MR Board Commercial 6x12x9MM TH,MDF MR Board Commercial 6x12x9MM TH,3,Nos,100,MDF,1,1,1
MDFMR MLM O/S Black Fine Finish 4 x 8 12MM,MDFMR MLM O/S Black Fine Finish 4 x 8 12MM,12,Nos,105,MDF,1,1,1
MDF MR O/S White Fine Finish 18MM TH,MDF MR O/S White Fine Finish 18MM TH,13,Nos,90,MDF,1,1,1
MDF MR O/S White Texture 18MM TH,MDF MR O/S White Texture 18MM TH,6,Nos,92,MDF,1,1,1
MDF Plain E1 Grade 4 x 8 x 12MM,MDF Plain E1 Grade 4 x 8 x 12MM,10,Nos,39,MDF,1,1,1
Anigre Fig Veneer,Anigre Fig Veneer,14.14,Sqm,13,Natural Veneer,1,1,1
Ash Veneer Crown Cut,Ash Veneer Crown Cut,771.22,Sqm,9.28,Natural Veneer,1,1,1
